candidate,c2_feature_groups,n_feature_groups,recency_half_life_days,model,WAPE,MAE,RMSE,BiasRatio,Coverage,test_aligned_WAPE,elapsed_seconds,n_oof_rows
single_event,event,1,365.0,LightGBM,0.29677318526128893,13.676023844789901,21.888534387738968,0.0034152559503509224,1.0,0.28007738964919493,59.708049166998535,826
single_event,event,1,365.0,DynamicRidge,0.42965262733727005,19.799428884613558,32.24366683455198,0.21433587498584036,1.0,0.3875193917200159,59.708049166998535,826
single_event,event,1,365.0,SeasonalNaive,0.5504337381556119,25.365313653136532,38.54854290244443,0.2947284131856399,1.0,0.6160467728032073,59.708049166998535,826
single_event,event,1,365.0,MovingAvg28,0.4444305080765778,20.480429255952014,31.616861817439048,0.009393574133998524,1.0,0.43846176962534256,59.708049166998535,826
forward_1_price,price,1,365.0,NeuralNet,0.3117311631459815,14.365323526770231,21.854308057077677,0.046667867796853085,1.0,0.3004868244870604,58.59686870799487,826
forward_1_price,price,1,365.0,XGBoost,0.29451369592062576,13.571901128740768,21.44614237510539,-0.013374045524230615,1.0,0.28056398169523455,58.59686870799487,826
forward_1_price,price,1,365.0,LightGBM,0.2886791106172768,13.303029371803538,20.48684922975028,0.0022343679787271667,1.0,0.27208286636397183,58.59686870799487,826
forward_1_price,price,1,365.0,DynamicRidge,0.4397709119603104,20.26570383344776,34.49244414712129,0.21423662769115132,1.0,0.3883592927759708,58.59686870799487,826
forward_1_price,price,1,365.0,SeasonalNaive,0.5504337381556119,25.365313653136532,38.54854290244443,0.2947284131856399,1.0,0.6160467728032073,58.59686870799487,826
forward_1_price,price,1,365.0,MovingAvg28,0.4444305080765778,20.480429255952014,31.616861817439048,0.009393574133998524,1.0,0.43846176962534256,58.59686870799487,826
forward_1_campaign,campaign,1,365.0,NeuralNet,0.33442564823467985,15.411140112069226,23.98603580935256,0.03657023503976917,1.0,0.3312850705241694,57.91048162500374,826
forward_1_campaign,campaign,1,365.0,XGBoost,0.30215206306607195,13.92389550156259,21.994292709146897,0.012129483492785201,1.0,0.29222814338596503,57.91048162500374,826
forward_1_campaign,campaign,1,365.0,LightGBM,0.29912676568599594,13.78448250482883,21.607053784267414,0.01407107295841078,1.0,0.28255143350679923,57.91048162500374,826
forward_1_campaign,campaign,1,365.0,DynamicRidge,0.4314077901144968,19.880311016776904,32.60932701702964,0.20004904675464613,1.0,0.39454910034906293,57.91048162500374,826
forward_1_campaign,campaign,1,365.0,SeasonalNaive,0.5504337381556119,25.365313653136532,38.54854290244443,0.2947284131856399,1.0,0.6160467728032073,57.91048162500374,826
forward_1_campaign,campaign,1,365.0,MovingAvg28,0.4444305080765778,20.480429255952014,31.616861817439048,0.009393574133998524,1.0,0.43846176962534256,57.91048162500374,826
forward_1_lifecycle,lifecycle,1,365.0,NeuralNet,0.2998983534329654,13.820039128371523,21.34833977675041,0.008034537616521027,1.0,0.29541250868954,57.93695483299962,826
forward_1_lifecycle,lifecycle,1,365.0,XGBoost,0.3016056412882406,13.898715068713326,21.810756484834464,0.01069416578058151,1.0,0.28939057979999316,57.93695483299962,826
forward_1_lifecycle,lifecycle,1,365.0,LightGBM,0.2833818261055098,13.058917730680104,19.75612950375694,0.02751604341130605,1.0,0.27313584294242016,57.93695483299962,826
forward_1_lifecycle,lifecycle,1,365.0,DynamicRidge,0.4258806782522189,19.625608377268613,32.18634328934311,0.18898050666201438,1.0,0.3916288361175366,57.93695483299962,826
forward_1_lifecycle,lifecycle,1,365.0,SeasonalNaive,0.5504337381556119,25.365313653136532,38.54854290244443,0.2947284131856399,1.0,0.6160467728032073,57.93695483299962,826
forward_1_lifecycle,lifecycle,1,365.0,MovingAvg28,0.4444305080765778,20.480429255952014,31.616861817439048,0.009393574133998524,1.0,0.43846176962534256,57.93695483299962,826
forward_1_market,market,1,365.0,NeuralNet,0.2898340867653092,13.356253457149212,20.947614961545895,-0.03236245542363774,1.0,0.3072267822828498,60.983970249995764,826
forward_1_market,market,1,365.0,XGBoost,0.27760761768305936,12.792828285972718,21.033144022931026,-0.05447683171119929,1.0,0.2747318414653129,60.983970249995764,826
forward_1_market,market,1,365.0,LightGBM,0.276133514057567,12.724898037105469,20.210884034922774,-0.03054254945553019,1.0,0.2714568944223913,60.983970249995764,826
forward_1_market,market,1,365.0,DynamicRidge,0.3714044745449197,17.11521357789104,30.488648813067268,0.11587329114150034,1.0,0.35787378793104574,60.983970249995764,826
forward_1_market,market,1,365.0,SeasonalNaive,0.5504337381556119,25.365313653136532,38.54854290244443,0.2947284131856399,1.0,0.6160467728032073,60.983970249995764,826
forward_1_market,market,1,365.0,MovingAvg28,0.4444305080765778,20.480429255952014,31.616861817439048,0.009393574133998524,1.0,0.43846176962534256,60.983970249995764,826
forward_1_event,event,1,365.0,NeuralNet,0.297550699491244,13.711853574956283,21.765890750312177,-0.007116787874391182,1.0,0.2947716982454489,59.708049166998535,826
forward_1_event,event,1,365.0,XGBoost,0.2884197470010019,13.29107727108553,21.157996751645655,-0.0068477046405395646,1.0,0.2742556904921244,59.708049166998535,826
forward_1_event,event,1,365.0,LightGBM,0.29677318526128893,13.676023844789901,21.888534387738968,0.0034152559503509224,1.0,0.28007738964919493,59.708049166998535,826
