candidate,stage,training_window_days,recency_half_life_days,baseline_variant,enable_trend_features,model,WAPE,MAE,RMSE,BiasRatio,Coverage,test_aligned_WAPE,elapsed_seconds,n_oof_rows
window365_half180,recency,365.0,180.0,weighted_4321,False,DynamicRidge,0.46077458106451674,21.233603541921426,34.65234943113346,0.1894519034349026,1.0,0.4276800584849626,34.725298624998686,826
window365_half180,recency,365.0,180.0,weighted_4321,False,SeasonalNaive,0.5504337381556119,25.365313653136532,38.54854290244443,0.2947284131856399,1.0,0.6160467728032073,34.725298624998686,826
window365_half180,recency,365.0,180.0,weighted_4321,False,MovingAvg28,0.4444305080765778,20.480429255952014,31.616861817439048,0.009393574133998524,1.0,0.43846176962534256,34.725298624998686,826
baseline_lag7,baseline,,365.0,lag7,False,NeuralNet,0.30308451308195106,13.966865046267277,20.641786043219746,0.0387431312427062,1.0,0.296018729752093,57.10361145900242,826
baseline_lag7,baseline,,365.0,lag7,False,XGBoost,0.30115124291306455,13.877775296110656,21.326524828156984,0.028715147606031163,1.0,0.29299289137252077,57.10361145900242,826
baseline_lag7,baseline,,365.0,lag7,False,LightGBM,0.3003139818866533,13.83919228952456,21.743406885766746,0.023618029734328833,1.0,0.2840233031085903,57.10361145900242,826
baseline_lag7,baseline,,365.0,lag7,False,DynamicRidge,0.5042834155552858,23.238595527403177,38.40318719732657,0.20565585458642982,1.0,0.4634561283968067,57.10361145900242,826
baseline_lag7,baseline,,365.0,lag7,False,SeasonalNaive,0.5504337381556119,25.365313653136532,38.54854290244443,0.2947284131856399,1.0,0.6160467728032073,57.10361145900242,826
baseline_lag7,baseline,,365.0,lag7,False,MovingAvg28,0.4444305080765778,20.480429255952014,31.616861817439048,0.009393574133998524,1.0,0.43846176962534256,57.10361145900242,826
baseline_weekday_median,baseline,,365.0,weekday_median,False,NeuralNet,0.2955291920989175,13.618697640819118,20.76763352268964,0.020313352875154136,1.0,0.2918339724972358,57.14752700000099,826
baseline_weekday_median,baseline,,365.0,weekday_median,False,XGBoost,0.30058858871587235,13.851846834243737,21.756049659404923,0.010594864816257096,1.0,0.28784023881921866,57.14752700000099,826
