origin_type,strategy,ProductId,model,n,actual_total,prediction_total,MAE,RMSE,MAPE,WAPE,sMAPE,RMSLE,Bias,BiasRatio
development,direct,25,LightGBM,84,4166.0,3544.3360233306885,19.112690448760986,32.7359212587031,40.95359813404637,0.38537349920689457,0.37566117089924694,0.49876174467976714,-7.400761627015614,-0.14922323011745356
development,direct,25,DynamicRidge,84,4166.0,3181.5976152420044,21.619871650423324,37.92734502372356,49.687383002662294,0.4359263606902446,0.46280623228224754,0.6337198259439273,-11.719076009023757,-0.23629437944262977
development,direct,25,SeasonalNaive,84,4166.0,6195.0,46.107142857142854,64.34662458309757,135.4683518069895,0.92966874699952,0.6916826986167639,0.947654099096379,24.154761904761905,0.4870379260681709
development,direct,25,MovingAvg28,84,4166.0,4990.870370370372,38.055429579239096,51.31263054142084,117.81322354116858,0.7673202315545089,0.651849118414403,0.8603993033471841,9.81988536155203,0.1980005689799257
development,direct,26,NeuralNet,79,3074.0,2699.45337767052,11.250736433027756,22.588641569399883,45.38123450386842,0.28913733838945765,0.43906893815022446,0.5142431737487327,-4.7410964851833,-0.12184340349039711
development,direct,26,Ensemble,79,3074.0,2630.1759023850464,9.597998715337642,20.694914700780593,37.400288812042206,0.24666294681576895,0.4220338356795267,0.48077189894936223,-5.618026552088022,-0.14437999271794202
development,direct,26,XGBoost,79,3074.0,2735.738604784012,11.221877227855634,22.092919501168094,46.03401506484233,0.28839567371522284,0.462524843850779,0.5366222490582856,-4.28178981286061,-0.11003949096160968
development,direct,26,LightGBM,79,3074.0,2498.5590646862984,10.203182286854032,21.953738383940795,35.460176165819284,0.26221581023470025,0.47443190180336064,0.5217527836043374,-7.284062472325337,-0.18719614031024776
development,direct,26,DynamicRidge,79,3074.0,2498.7751998603344,14.24793360995341,26.317252855523357,57.56627647127688,0.3661635508088222,0.5822380684184034,0.6748326439135373,-7.2813265840464,-0.18712582958349563
development,direct,26,SeasonalNaive,79,3074.0,5990.0,48.58227848101266,114.31136692208233,202.29592180327822,1.2485361093038387,0.7619534731092206,1.0766920562287319,36.91139240506329,0.9486011711125569
development,direct,26,MovingAvg28,79,3074.0,4289.485580442105,35.6713296182201,78.72317732459337,146.3482595957868,0.9167322836172375,0.6803737671874176,0.9480628819341395,15.385893423317746,0.3954084516727723
development,direct,27,NeuralNet,67,2590.0,2615.019129409635,18.637062329763303,27.27064086401733,365.30661499457364,0.48211705640700436,0.6581412034068392,1.281507287954274,0.3734198419348399,0.009659895524955319
development,direct,27,Ensemble,67,2590.0,2303.8980490269046,17.192469645812942,23.388934281100756,256.9600590943053,0.4447472842739255,0.691874404064078,1.2043512089876023,-4.270178372732776,-0.1104640737347861
development,direct,27,XGBoost,67,2590.0,2013.8093530982733,20.149593878370613,27.587687831622006,206.904611595026,0.5212443204057262,0.8006894461611656,1.3335148553000011,-8.59986040151831,-0.22246743123618792
development,direct,27,LightGBM,67,2590.0,2202.663651704788,16.978971840730352,22.862432560197426,197.25851605440258,0.4392243680806694,0.7178410051134078,1.142122174140567,-5.781139526794206,-0.1495507136274949
development,direct,27,DynamicRidge,67,2590.0,2121.5818759799004,18.311876708891855,24.479486314161875,209.30158947382748,0.47370491872422943,0.7055814714693291,1.2085526201298928,-6.991315283882084,-0.18085641854057902
development,direct,27,SeasonalNaive,67,2590.0,4272.333333333333,39.039800995024876,54.69728241102031,917.9581795935858,1.0099099099099098,0.8317389346662352,1.762970313537989,25.109452736318406,0.6495495495495495
development,direct,27,MovingAvg28,67,2590.0,3574.541452991453,34.601072476445616,43.43237899951563,686.3494828683829,0.8950856586570873,0.8397455976655371,1.66914211034774,14.694648552111238,0.3801318351318351
development,direct,28,NeuralNet,70,2872.0,3243.3100972281063,11.369124214033738,17.010267009709754,50.82158733768072,0.27710260967352424,0.3711326855164722,0.4720500292043248,5.304429960401521,0.12928624555296184
