model,evaluation_regime,comparison_population,aggregation,n_folds,n_expected,n_actual,n_predicted,n_scored,coverage,MAE,RMSE,MAPE,WAPE,sMAPE,RMSLE,Bias,BiasRatio,n,strategy,horizon,origin_type
NeuralNet,conditional,common,global,12,341,341,341,341,1.0,15.221073645690064,24.985580596984548,47.035412154012164,0.2765845738665838,0.35049296456351153,0.4696368076211646,-4.842709391262613,-0.08799765013431476,341.0,direct,2,development
NeuralNet,conditional,common,mean_fold,12,341,341,341,341,1.0,14.970968149818555,19.807031197081002,47.0514481894636,0.31431946895643903,0.3527289172048331,0.4602410538169814,-4.647135602849281,0.02851033800398095,28.416666666666668,direct,2,development
Ensemble,conditional,common,global,12,341,341,341,341,1.0,13.96602369550493,23.811795853956678,39.82042476864685,0.2537788596486828,0.3249883828183979,0.43684212745789036,-5.081241594330481,-0.09233205710682586,341.0,direct,2,development
Ensemble,conditional,common,mean_fold,12,341,341,341,341,1.0,13.701852616927681,17.56562962329541,39.94949480437858,0.27746767575955794,0.32657686098558086,0.4267606569625011,-4.77279816395946,0.004972747753157297,28.416666666666668,direct,2,development
XGBoost,conditional,common,global,12,341,341,341,341,1.0,14.861221823218631,26.544046472330525,39.366570549237096,0.2700456486047934,0.34025911957932575,0.4730335262025541,-6.44985586112021,-0.11720136676126994,341.0,direct,2,development
XGBoost,conditional,common,mean_fold,12,341,341,341,341,1.0,14.560633997459307,19.001356697895655,39.652864958868236,0.29325559669308715,0.34156417463613437,0.4539551111232651,-6.08821097261757,-0.009726315675369844,28.416666666666668,direct,2,development
LightGBM,conditional,common,global,12,341,341,341,341,1.0,14.431149201309227,25.872696596681973,37.598583173533925,0.2622307299182802,0.3265699039237687,0.4257593740653042,-4.424108328707407,-0.08039118299526941,341.0,direct,2,development
LightGBM,conditional,common,mean_fold,12,341,341,341,341,1.0,14.187949620102865,19.228031875266424,37.760210941048136,0.27850140385197003,0.3281906130127903,0.4140871580442831,-4.0455810353316055,-0.007331782075470211,28.416666666666668,direct,2,development
DynamicRidge,conditional,common,global,12,341,341,341,341,1.0,23.769863524307603,51.21906782542137,59.25742463609248,0.43192600776877826,0.4340965522576952,0.592791229230431,-2.569734464205605,-0.04669505767313819,341.0,direct,2,development
DynamicRidge,conditional,common,mean_fold,12,341,341,341,341,1.0,23.17182313793141,33.779166335850704,59.0326573698948,0.39889504945912463,0.43430048707698016,0.5717542589704548,-2.494566340769636,0.018019211945204634,28.416666666666668,direct,2,development
SeasonalNaive,conditional,common,global,12,341,341,341,341,1.0,32.05180840664712,54.84657649666949,166.66505930653796,0.5824185583857331,0.5543121548355554,0.8895156292428996,6.4584555229716525,0.11735763259796086,341.0,direct,2,development
SeasonalNaive,conditional,common,mean_fold,12,341,341,341,341,1.0,31.232113051380296,42.593724146390066,162.6947385155683,0.8415463967186421,0.5519772337371128,0.8029598834636033,6.056335142613879,0.5021313397518664,28.416666666666668,direct,2,development
MovingAvg28,conditional,common,global,12,341,341,341,341,1.0,34.806242381067065,56.215625539794445,126.05617196266832,0.6324698205234929,0.6093208515416042,0.8559747478943277,-7.406249070134063,-0.13458014136820395,341.0,direct,2,development
MovingAvg28,conditional,common,mean_fold,12,341,341,341,341,1.0,33.912025249860655,42.53411248398529,123.54653240132222,0.7429716711231374,0.6050167005367209,0.7985404258717783,-7.206566387411535,0.3407143189373836,28.416666666666668,direct,2,development
NeuralNet,conditional,model_specific,global,12,341,341,341,341,1.0,15.221073645690064,24.985580596984548,47.035412154012164,0.2765845738665838,0.35049296456351153,0.4696368076211646,-4.842709391262613,-0.08799765013431476,341.0,direct,2,development
NeuralNet,conditional,model_specific,mean_fold,12,341,341,341,341,1.0,14.970968149818555,19.807031197081002,47.0514481894636,0.31431946895643903,0.3527289172048331,0.4602410538169814,-4.647135602849281,0.02851033800398095,28.416666666666668,direct,2,development
Ensemble,conditional,model_specific,global,12,341,341,341,341,1.0,13.96602369550493,23.811795853956678,39.82042476864685,0.2537788596486828,0.3249883828183979,0.43684212745789036,-5.081241594330481,-0.09233205710682586,341.0,direct,2,development
Ensemble,conditional,model_specific,mean_fold,12,341,341,341,341,1.0,13.701852616927681,17.56562962329541,39.94949480437858,0.27746767575955794,0.32657686098558086,0.4267606569625011,-4.77279816395946,0.004972747753157297,28.416666666666668,direct,2,development
