origin_type,strategy,origin,validation_stratum,ProductId,DateKey,horizon,actual,model,prediction,absolute_error,signed_error
development,direct,2024-11-29,holiday_event,24,2024-12-01,2,186.0,XGBoost,106.12808990478516,79.87191009521484,-79.87191009521484
development,direct,2024-11-29,holiday_event,2,2024-12-02,3,168.0,XGBoost,91.60051727294922,76.39948272705078,-76.39948272705078
development,direct,2024-11-29,holiday_event,6,2024-12-01,2,137.0,XGBoost,61.67555236816406,75.32444763183594,-75.32444763183594
development,direct,2022-11-20,holiday_event,27,2022-11-23,3,75.0,XGBoost,0.8185877203941345,74.18141227960587,-74.18141227960587
development,direct,2024-11-29,holiday_event,4,2024-12-01,2,188.0,XGBoost,113.90501403808594,74.09498596191406,-74.09498596191406
development,direct,2022-11-20,holiday_event,3,2022-11-21,1,178.0,XGBoost,251.01402282714844,73.01402282714844,73.01402282714844
development,direct,2024-11-29,holiday_event,25,2024-12-06,7,92.0,XGBoost,164.57022094726562,72.57022094726562,72.57022094726562
development,direct,2023-11-24,holiday_event,3,2023-11-25,1,142.0,XGBoost,214.1945343017578,72.19453430175781,72.19453430175781
development,direct,2022-11-20,holiday_event,22,2022-11-27,7,221.0,XGBoost,152.78578186035156,68.21421813964844,-68.21421813964844
development,direct,2022-11-20,holiday_event,5,2022-11-27,7,397.0,XGBoost,464.56048583984375,67.56048583984375,67.56048583984375
development,direct,2022-11-20,holiday_event,3,2022-11-26,6,170.0,XGBoost,236.88101196289062,66.88101196289062,66.88101196289062
development,direct,2022-11-20,holiday_event,4,2022-11-24,4,239.0,XGBoost,172.40965270996094,66.59034729003906,-66.59034729003906
development,direct,2022-11-20,holiday_event,3,2022-11-22,2,157.0,XGBoost,223.0135955810547,66.01359558105469,66.01359558105469
development,direct,2023-11-24,holiday_event,19,2023-11-26,2,179.0,XGBoost,113.75089263916016,65.24910736083984,-65.24910736083984
development,direct,2024-11-29,holiday_event,2,2024-12-01,2,205.0,XGBoost,139.8633575439453,65.13664245605469,-65.13664245605469
development,direct,2024-11-29,holiday_event,3,2024-12-03,4,175.0,XGBoost,110.31932830810547,64.68067169189453,-64.68067169189453
development,direct,2024-11-29,holiday_event,9,2024-12-01,2,122.0,XGBoost,57.36989974975586,64.63010025024414,-64.63010025024414
development,direct,2024-11-29,holiday_event,11,2024-11-30,1,149.0,XGBoost,85.44760131835938,63.552398681640625,-63.552398681640625
development,direct,2022-11-20,holiday_event,1,2022-11-23,3,267.0,XGBoost,203.8429718017578,63.15702819824219,-63.15702819824219
development,direct,2024-11-29,holiday_event,26,2024-11-30,1,226.0,XGBoost,163.66697692871094,62.33302307128906,-62.33302307128906
development,direct,2024-11-29,holiday_event,13,2024-12-01,2,164.0,XGBoost,102.52285766601562,61.477142333984375,-61.477142333984375
development,direct,2022-11-20,holiday_event,25,2022-11-25,5,139.0,XGBoost,77.63941192626953,61.36058807373047,-61.36058807373047
development,direct,2022-11-20,holiday_event,15,2022-11-26,6,90.0,XGBoost,28.681472778320312,61.31852722167969,-61.31852722167969
development,direct,2024-11-29,holiday_event,28,2024-12-01,2,151.0,XGBoost,90.06068420410156,60.93931579589844,-60.93931579589844
development,direct,2024-11-29,holiday_event,19,2024-12-01,2,102.0,XGBoost,41.70255661010742,60.29744338989258,-60.29744338989258
development,direct,2024-11-29,holiday_event,27,2024-12-06,7,130.0,XGBoost,70.26350402832031,59.73649597167969,-59.73649597167969
development,direct,2022-11-20,holiday_event,12,2022-11-27,7,111.0,XGBoost,51.32271957397461,59.67728042602539,-59.67728042602539
