ProductId,horizon,DateKey,origin,origin_type,strategy,validation_stratum,pred_NeuralNet,pred_AppShare_NeuralNet,pred_QuantityApp_NeuralNet,pred_QuantityWeb_NeuralNet,actual_AppShare,fallback_NeuralNet,nonfinite_NeuralNet,catastrophic_NeuralNet,residual_guard_NeuralNet,residual_nonfinite_NeuralNet,residual_raw_min_NeuralNet,residual_raw_max_NeuralNet,safety_limit_NeuralNet,pred_NeuralNet_seed42,actual,ProductAvailable,baseline,pred_SeasonalNaive,pred_MovingAvg28
19,3,2025-02-13,2025-02-10,development,direct,winter_test_like,10.252330481588851,0.50512624,5.178721125557343,5.0736093560315085,0.7272727272727273,False,False,False,False,False,,,,10.252330481588851,22.0,True,37.2,37.0,33.357142857142854
20,3,2025-02-13,2025-02-10,development,direct,winter_test_like,33.84577101129716,0.3761063,12.729607435256646,21.116164584723094,0.30612244897959184,False,False,False,False,False,,,,33.84577101129716,49.0,True,28.4,31.0,35.785714285714285
21,3,2025-02-13,2025-02-10,development,direct,winter_test_like,23.525804464136286,0.41582084,9.782519703866566,13.74328476026972,0.45454545454545453,False,False,False,False,False,,,,23.525804464136286,22.0,True,29.1,34.0,24.107142857142858
22,3,2025-02-13,2025-02-10,development,direct,winter_test_like,25.722670589743274,0.43996727,11.31713327649631,14.405537313246963,0.47619047619047616,False,False,False,False,False,,,,25.722670589743274,21.0,True,24.1,32.0,23.857142857142858
23,3,2025-02-13,2025-02-10,development,direct,winter_test_like,27.843130064093263,0.53180444,14.80710025856452,13.036029805528743,0.425,False,False,False,False,False,,,,27.843130064093263,40.0,True,49.5,72.0,41.392857142857146
24,3,2025-02-13,2025-02-10,development,direct,winter_test_like,68.16183010942443,0.50163263,34.192198159640185,33.969631949784244,0.6666666666666666,False,False,False,False,False,,,,68.16183010942443,60.0,True,58.4,58.0,65.96428571428571
25,3,2025-02-13,2025-02-10,development,direct,winter_test_like,47.66858966390609,0.5112924,24.372587517388776,23.296002146517313,0.4868421052631579,False,False,False,False,False,,,,47.66858966390609,76.0,True,98.7,176.0,81.78571428571429
26,3,2025-02-13,2025-02-10,development,direct,winter_test_like,12.738854509730155,0.4251527,5.415958252375261,7.322896637002343,0.5,False,False,False,False,False,,,,12.738854509730155,20.0,True,12.6,16.0,11.785714285714286
27,3,2025-02-13,2025-02-10,development,direct,winter_test_like,41.052754547614605,0.48870912,20.062855628286535,20.989900142795495,0.5660377358490566,False,False,False,False,False,,,,41.052754547614605,53.0,True,48.4,50.0,55.25
28,3,2025-02-13,2025-02-10,development,direct,winter_test_like,109.03297603280193,0.52513075,57.25656834241298,51.77640769038894,0.5514018691588785,False,False,False,False,False,,,,109.03297603280193,107.0,True,106.6,162.0,97.28571428571429
29,3,2025-02-13,2025-02-10,development,direct,winter_test_like,49.44432608174971,0.41085213,20.314306896139804,29.130019185609903,0.35,False,False,False,False,False,,,,49.44432608174971,60.0,True,53.6,59.0,52.857142857142854
30,3,2025-02-13,2025-02-10,development,direct,winter_test_like,43.08799790968279,0.3764539,16.220645127646517,26.86735406615868,0.44642857142857145,False,False,False,False,False,,,,43.08799790968279,56.0,True,26.3,48.0,31.333333333333332
1,4,2025-02-14,2025-02-10,development,direct,winter_test_like,15.907188660474558,0.37450573,5.957333277410724,9.94985490899267,0.43478260869565216,False,False,False,False,False,,,,15.907188660474558,23.0,True,18.3,24.0,18.962962962962962
2,4,2025-02-14,2025-02-10,development,direct,winter_test_like,15.533590726287406,0.33048806,5.133666200967349,10.399924062382977,0.45,False,False,False,False,False,,,,15.533590726287406,20.0,True,24.3,27.0,25.928571428571427
3,4,2025-02-14,2025-02-10,development,direct,winter_test_like,18.339956165365958,0.37800527,6.9326000121943,11.407356153171659,0.3103448275862069,False,False,False,False,False,,,,18.339956165365958,29.0,True,15.9,21.0,14.75
4,4,2025-02-14,2025-02-10,development,direct,winter_test_like,7.3455640716198785,0.39034685,2.86731783300804,4.47824601969697,0.3333333333333333,False,False,False,False,False,,,,7.3455640716198785,9.0,True,12.3,18.0,11.107142857142858
5,4,2025-02-14,2025-02-10,development,direct,winter_test_like,30.68095135611965,0.54486465,16.716965961641836,13.963985394477811,0.2698412698412698,False,False,False,False,False,,,,30.68095135611965,63.0,True,74.5,111.0,70.92857142857143
6,4,2025-02-14,2025-02-10,development,direct,winter_test_like,25.40394514550722,0.5071015,12.882378084399354,12.521567061107865,0.3870967741935484,False,False,False,False,False,,,,25.40394514550722,31.0,True,31.3,36.0,35.57142857142857
7,4,2025-02-14,2025-02-10,development,direct,winter_test_like,19.307493665388275,0.43986115,8.49261634016401,10.814876749816113,0.16666666666666666,False,False,False,False,False,,,,19.307493665388275,24.0,True,25.9,33.0,32.285714285714285
8,4,2025-02-14,2025-02-10,development,direct,winter_test_like,19.774939625332063,0.42694488,8.442809258519626,11.332130956151563,0.4166666666666667,False,False,False,False,False,,,,19.774939625332063,48.0,True,70.3,131.0,59.32142857142857
9,4,2025-02-14,2025-02-10,development,direct,winter_test_like,35.19744779107445,0.5842414,20.563805829944343,14.633641961130111,0.6046511627906976,False,False,False,False,False,,,,35.19744779107445,43.0,True,36.4,49.0,48.214285714285715
10,4,2025-02-14,2025-02-10,development,direct,winter_test_like,22.42717816946946,0.4724782,10.596353017630829,11.830825151838631,0.2727272727272727,False,False,False,False,False,,,,22.42717816946946,22.0,True,34.1,48.0,32.17857142857143
11,4,2025-02-14,2025-02-10,development,direct,winter_test_like,7.17443721565245,0.4521182,3.2436935548848917,3.930743874582449,0.23076923076923078,False,False,False,False,False,,,,7.17443721565245,13.0,True,18.5,19.0,19.964285714285715
12,4,2025-02-14,2025-02-10,development,direct,winter_test_like,15.901124874899153,0.5049168,8.028744883865622,7.87237999103353,0.3888888888888889,False,False,False,False,False,,,,15.901124874899153,18.0,True,40.5,67.0,35.642857142857146
13,4,2025-02-14,2025-02-10,development,direct,winter_test_like,34.8634652562913,0.60024947,20.92677651735904,13.936688738932258,0.40476190476190477,False,False,False,False,False,,,,34.8634652562913,42.0,True,53.5,93.0,54.392857142857146
14,4,2025-02-14,2025-02-10,development,direct,winter_test_like,20.905210908183708,0.5940053,12.417805798905274,8.487405109278434,0.6666666666666666,False,False,False,False,False,,,,20.905210908183708,36.0,True,25.9,37.0,33.285714285714285
15,4,2025-02-14,2025-02-10,development,direct,winter_test_like,18.17064318004893,0.4631966,8.416580239732006,9.754062398789557,0.21428571428571427,False,False,False,False,False,,,,18.17064318004893,42.0,True,33.5,47.0,33.607142857142854
16,4,2025-02-14,2025-02-10,development,direct,winter_test_like,17.097381721162897,0.33419296,5.71382463051161,11.383556581109605,0.5714285714285714,False,False,False,False,False,,,,17.097381721162897,49.0,True,7.8,4.0,17.571428571428573
17,4,2025-02-14,2025-02-10,development,direct,winter_test_like,5.675700993073006,0.30233833,1.7159819708233504,3.959718853100585,0.29411764705882354,False,False,False,False,False,,,,5.675700993073006,17.0,True,51.8,98.0,38.5
